date,Terms of Service,Past 48 hours,Français (Canada),Bahasa Melayu,Copy to clipboard,Tiếng Việt,Download now,Help Center,Norsk bokmål,"(function(){'use strict';function g(){var a=k,b=0;return function(){return b",English (United Kingdom),Watch now,All categories,"=0&&a.indexOf(""Trident"")>=0&&(a=/\b(?:MSIE|rv)[: ]([^\);]+)(\)|;)/.exec(a))&&a[1]&&parseFloat(a[1])",Main menu,Intellectual Property Policy,Community Guidelines,Bahasa Indonesia,Қазақ тілі,Español (Latinoamérica),Effect House,Creator Academy
2024-10-06 00:00:00,43.0,34.0,0.0,0.0,86.0,19.0,33.0,75.0,0.0,,33.0,75.0,,,,41.0,22.0,5.0,0.0,0.0,52.0,19.0
2024-10-13 00:00:00,45.0,0.0,0.0,7.0,86.0,16.0,32.0,74.0,0.0,,31.0,67.0,,,,0.0,23.0,5.0,0.0,0.0,49.0,33.0
2024-10-20 00:00:00,47.0,0.0,0.0,6.0,90.0,19.0,31.0,74.0,0.0,,26.0,68.0,,,,27.0,23.0,5.0,0.0,0.0,53.0,24.0
2024-10-27 00:00:00,40.0,0.0,0.0,0.0,85.0,18.0,28.0,72.0,0.0,,42.0,66.0,,,,28.0,21.0,5.0,0.0,0.0,54.0,27.0
2024-11-03 00:00:00,38.0,68.0,7.0,0.0,74.0,20.0,30.0,69.0,0.0,,45.0,74.0,,,,30.0,19.0,5.0,0.0,0.0,58.0,16.0
2024-11-10 00:00:00,58.0,0.0,8.0,0.0,85.0,19.0,35.0,76.0,0.0,,38.0,83.0,,,,34.0,22.0,4.0,0.0,0.0,57.0,28.0
2024-11-17 00:00:00,50.0,42.0,11.0,0.0,82.0,18.0,36.0,72.0,0.0,,40.0,68.0,,,,32.0,21.0,5.0,0.0,0.0,57.0,28.0
2024-11-24 00:00:00,35.0,53.0,9.0,0.0,67.0,17.0,31.0,57.0,0.0,,41.0,85.0,,,,0.0,18.0,5.0,0.0,0.0,29.0,0.0
2024-12-01 00:00:00,42.0,0.0,7.0,0.0,89.0,17.0,35.0,80.0,0.0,,36.0,67.0,,,,31.0,24.0,5.0,0.0,0.0,56.0,29.0
2024-12-08 00:00:00,42.0,0.0,0.0,0.0,80.0,18.0,35.0,75.0,0.0,,54.0,64.0,,,,34.0,21.0,5.0,0.0,0.0,56.0,25.0
2024-12-15 00:00:00,40.0,36.0,10.0,0.0,83.0,16.0,33.0,69.0,0.0,,34.0,66.0,,,,24.0,19.0,5.0,0.0,0.0,47.0,13.0
2024-12-22 00:00:00,20.0,0.0,9.0,0.0,51.0,18.0,37.0,50.0,0.0,,26.0,94.0,,,,0.0,14.0,5.0,0.0,0.0,18.0,17.0
2024-12-29 00:00:00,23.0,0.0,0.0,0.0,49.0,18.0,35.0,54.0,0.0,,0.0,96.0,,,,0.0,17.0,6.0,0.0,0.0,20.0,21.0
2025-01-05 00:00:00,30.0,42.0,0.0,4.0,78.0,17.0,36.0,69.0,0.0,,33.0,86.0,,,,0.0,19.0,7.0,0.0,0.0,35.0,22.0
2025-01-12 00:00:00,45.0,0.0,9.0,0.0,85.0,17.0,37.0,75.0,0.0,,34.0,76.0,,,,45.0,26.0,5.0,0.0,0.0,49.0,16.0
2025-01-19 00:00:00,40.0,40.0,0.0,0.0,90.0,16.0,53.0,71.0,0.0,,40.0,87.0,,,,0.0,21.0,8.0,0.0,0.0,44.0,24.0
2025-01-26 00:00:00,46.0,62.0,0.0,0.0,89.0,16.0,38.0,79.0,0.0,,25.0,80.0,,,,40.0,25.0,7.0,0.0,0.0,54.0,25.0
2025-02-02 00:00:00,47.0,0.0,0.0,0.0,92.0,19.0,38.0,79.0,0.0,,42.0,81.0,,,,43.0,22.0,7.0,0.0,0.0,52.0,24.0
2025-02-09 00:00:00,49.0,51.0,0.0,0.0,85.0,15.0,40.0,75.0,0.0,,33.0,78.0,,,,60.0,22.0,5.0,0.0,0.0,47.0,27.0
2025-02-16 00:00:00,64.0,72.0,12.0,0.0,100.0,20.0,37.0,78.0,0.0,,46.0,81.0,,,,29.0,26.0,7.0,0.0,0.0,48.0,25.0
2025-02-23 00:00:00,64.0,0.0,8.0,0.0,95.0,16.0,35.0,80.0,0.0,,34.0,69.0,,,,27.0,24.0,5.0,0.0,0.0,59.0,19.0
2025-03-02 00:00:00,48.0,53.0,12.0,5.0,91.0,18.0,35.0,75.0,0.0,,45.0,76.0,,,,28.0,23.0,5.0,0.0,0.0,54.0,25.0
2025-03-09 00:00:00,53.0,36.0,8.0,5.0,94.0,18.0,35.0,79.0,0.0,,28.0,91.0,,,,40.0,22.0,7.0,0.0,0.0,51.0,14.0
2025-03-16 00:00:00,48.0,57.0,8.0,0.0,87.0,16.0,32.0,75.0,0.0,,36.0,85.0,,,,43.0,19.0,6.0,0.0,0.0,46.0,27.0
2025-03-23 00:00:00,48.0,47.0,0.0,0.0,81.0,18.0,32.0,74.0,0.0,,24.0,76.0,,,,100.0,23.0,6.0,0.0,0.0,49.0,0.0
2025-03-30 00:00:00,47.0,84.0,9.0,0.0,83.0,18.0,31.0,75.0,0.0,,31.0,89.0,,,,41.0,25.0,5.0,0.0,0.0,54.0,10.0
2025-04-06 00:00:00,41.0,60.0,0.0,0.0,85.0,19.0,33.0,75.0,0.0,,26.0,79.0,,,,41.0,21.0,6.0,0.0,0.0,59.0,14.0
2025-04-13 00:00:00,40.0,44.0,0.0,0.0,88.0,18.0,32.0,76.0,0.0,,35.0,76.0,,,,35.0,17.0,7.0,0.0,0.0,48.0,14.0
2025-04-20 00:00:00,43.0,0.0,0.0,0.0,75.0,19.0,30.0,75.0,0.0,,21.0,83.0,,,,26.0,22.0,8.0,0.0,0.0,51.0,21.0
2025-04-27 00:00:00,49.0,41.0,9.0,5.0,92.0,20.0,35.0,77.0,0.0,,40.0,78.0,,,,23.0,23.0,8.0,0.0,0.0,55.0,24.0
2025-05-04 00:00:00,46.0,53.0,11.0,5.0,77.0,21.0,37.0,79.0,0.0,,43.0,79.0,,,,28.0,21.0,11.0,0.0,0.0,52.0,37.0
2025-05-11 00:00:00,39.0,36.0,7.0,5.0,94.0,21.0,36.0,81.0,0.0,,38.0,81.0,,,,0.0,20.0,9.0,0.0,0.0,50.0,24.0
2025-05-18 00:00:00,39.0,56.0,0.0,5.0,88.0,18.0,29.0,72.0,0.0,,22.0,78.0,,,,32.0,19.0,9.0,0.0,0.0,46.0,15.0
2025-05-25 00:00:00,36.0,46.0,0.0,0.0,62.0,18.0,36.0,65.0,0.0,,31.0,87.0,,,,0.0,22.0,9.0,0.0,0.0,40.0,11.0
2025-06-01 00:00:00,44.0,51.0,0.0,5.0,86.0,19.0,35.0,70.0,0.0,,21.0,83.0,,,,26.0,26.0,11.0,0.0,0.0,38.0,25.0
2025-06-08 00:00:00,49.0,44.0,0.0,6.0,80.0,20.0,43.0,76.0,0.0,,21.0,89.0,,,,47.0,33.0,18.0,0.0,0.0,48.0,17.0
2025-06-15 00:00:00,48.0,0.0,0.0,5.0,77.0,22.0,40.0,74.0,0.0,,31.0,98.0,,,,33.0,31.0,20.0,0.0,0.0,45.0,22.0
2025-06-22 00:00:00,52.0,40.0,0.0,9.0,88.0,22.0,43.0,95.0,0.0,,25.0,88.0,,,,48.0,34.0,25.0,0.0,0.0,49.0,24.0
2025-06-29 00:00:00,43.0,69.0,0.0,12.0,81.0,19.0,40.0,69.0,0.0,,29.0,82.0,,,,39.0,32.0,18.0,0.0,0.0,74.0,14.0
2025-07-06 00:00:00,46.0,42.0,12.0,12.0,90.0,19.0,48.0,82.0,0.0,,44.0,89.0,,,,35.0,32.0,33.0,0.0,0.0,62.0,21.0
2025-07-13 00:00:00,56.0,72.0,39.0,42.0,96.0,40.0,70.0,86.0,0.0,,36.0,95.0,,,,48.0,45.0,39.0,0.0,0.0,64.0,36.0
2025-07-20 00:00:00,73.0,85.0,61.0,76.0,83.0,66.0,95.0,95.0,0.0,,70.0,98.0,,,,60.0,63.0,78.0,100.0,61.0,87.0,90.0
2025-07-27 00:00:00,100.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,0.0,,100.0,100.0,,,,87.0,100.0,98.0,45.0,100.0,100.0,100.0
2025-08-03 00:00:00,57.0,73.0,33.0,27.0,88.0,39.0,54.0,97.0,0.0,,37.0,84.0,,,,35.0,55.0,58.0,0.0,63.0,57.0,45.0
2025-08-10 00:00:00,55.0,76.0,22.0,24.0,95.0,31.0,47.0,98.0,0.0,,57.0,84.0,,,,58.0,51.0,60.0,0.0,41.0,47.0,53.0
2025-08-17 00:00:00,44.0,68.0,17.0,16.0,85.0,19.0,39.0,82.0,0.0,,45.0,84.0,,,,48.0,33.0,64.0,0.0,0.0,44.0,15.0
2025-08-24 00:00:00,50.0,50.0,30.0,23.0,85.0,19.0,39.0,81.0,0.0,,47.0,83.0,,,,41.0,31.0,100.0,0.0,0.0,50.0,27.0
2025-08-31 00:00:00,51.0,72.0,25.0,26.0,83.0,20.0,39.0,84.0,0.0,,49.0,96.0,,,,33.0,36.0,99.0,0.0,0.0,53.0,24.0
2025-09-07 00:00:00,46.0,88.0,24.0,13.0,94.0,16.0,35.0,84.0,0.0,,49.0,86.0,,,,41.0,27.0,48.0,0.0,0.0,50.0,15.0
2025-09-14 00:00:00,59.0,64.0,32.0,32.0,86.0,21.0,38.0,92.0,0.0,,58.0,85.0,,,,61.0,40.0,77.0,0.0,0.0,67.0,32.0
2025-09-21 00:00:00,61.0,76.0,24.0,26.0,100.0,22.0,41.0,98.0,0.0,,52.0,99.0,,,,56.0,44.0,81.0,0.0,0.0,72.0,30.0
2025-09-28 00:00:00,47.0,56.0,5.0,6.0,92.0,20.0,36.0,81.0,69.0,,36.0,86.0,,,,29.0,22.0,15.0,5.0,13.0,48.0,20.0
2025-10-05 00:00:00,42.0,49.0,4.0,5.0,92.0,17.0,38.0,82.0,100.0,,54.0,90.0,,,,31.0,23.0,11.0,5.0,17.0,47.0,18.0
"Oct 6 – 12, 2024",,,,,,,,,,0,,,88,0,69,,,,,,,
"Oct 13 – 19, 2024",,,,,,,,,,0,,,80,0,76,,,,,,,
"Oct 20 – 26, 2024",,,,,,,,,,0,,,88,100,68,,,,,,,
"Oct 27 – Nov 2, 2024",,,,,,,,,,0,,,82,0,63,,,,,,,
"Nov 3 – 9, 2024",,,,,,,,,,0,,,83,0,64,,,,,,,
"Nov 10 – 16, 2024",,,,,,,,,,0,,,87,0,72,,,,,,,
"Nov 17 – 23, 2024",,,,,,,,,,0,,,87,0,67,,,,,,,
"Nov 24 – 30, 2024",,,,,,,,,,0,,,53,0,62,,,,,,,
"Dec 1 – 7, 2024",,,,,,,,,,0,,,77,0,65,,,,,,,
"Dec 8 – 14, 2024",,,,,,,,,,0,,,80,0,66,,,,,,,
"Dec 15 – 21, 2024",,,,,,,,,,0,,,55,0,68,,,,,,,
"Dec 22 – 28, 2024",,,,,,,,,,0,,,22,0,73,,,,,,,
"Dec 29, 2024 – Jan 4, 2025",,,,,,,,,,0,,,28,0,81,,,,,,,
"Jan 5 – 11, 2025",,,,,,,,,,0,,,52,0,68,,,,,,,
"Jan 12 – 18, 2025",,,,,,,,,,0,,,59,0,79,,,,,,,
"Jan 19 – 25, 2025",,,,,,,,,,0,,,66,0,74,,,,,,,
"Jan 26 – Feb 1, 2025",,,,,,,,,,0,,,87,0,70,,,,,,,
"Feb 2 – 8, 2025",,,,,,,,,,0,,,100,0,76,,,,,,,
"Feb 9 – 15, 2025",,,,,,,,,,0,,,88,0,77,,,,,,,
"Feb 16 – 22, 2025",,,,,,,,,,0,,,81,0,81,,,,,,,
"Feb 23 – Mar 1, 2025",,,,,,,,,,0,,,86,0,81,,,,,,,
"Mar 2 – 8, 2025",,,,,,,,,,0,,,87,0,77,,,,,,,
"Mar 9 – 15, 2025",,,,,,,,,,0,,,68,0,76,,,,,,,
"Mar 16 – 22, 2025",,,,,,,,,,0,,,65,0,76,,,,,,,
"Mar 23 – 29, 2025",,,,,,,,,,0,,,71,0,75,,,,,,,
"Mar 30 – Apr 5, 2025",,,,,,,,,,0,,,77,0,75,,,,,,,
"Apr 6 – 12, 2025",,,,,,,,,,0,,,77,0,75,,,,,,,
"Apr 13 – 19, 2025",,,,,,,,,,0,,,75,0,82,,,,,,,
"Apr 20 – 26, 2025",,,,,,,,,,0,,,70,0,79,,,,,,,
"Apr 27 – May 3, 2025",,,,,,,,,,0,,,76,0,73,,,,,,,
"May 4 – 10, 2025",,,,,,,,,,0,,,72,0,78,,,,,,,
"May 11 – 17, 2025",,,,,,,,,,0,,,60,0,81,,,,,,,
"May 18 – 24, 2025",,,,,,,,,,0,,,54,0,78,,,,,,,
"May 25 – 31, 2025",,,,,,,,,,0,,,52,0,82,,,,,,,
"Jun 1 – 7, 2025",,,,,,,,,,0,,,51,0,71,,,,,,,
"Jun 8 – 14, 2025",,,,,,,,,,0,,,54,0,75,,,,,,,
"Jun 15 – 21, 2025",,,,,,,,,,0,,,53,0,77,,,,,,,
"Jun 22 – 28, 2025",,,,,,,,,,0,,,53,0,77,,,,,,,
"Jun 29 – Jul 5, 2025",,,,,,,,,,0,,,47,0,83,,,,,,,
"Jul 6 – 12, 2025",,,,,,,,,,100,,,51,0,86,,,,,,,
"Jul 13 – 19, 2025",,,,,,,,,,0,,,55,0,90,,,,,,,
"Jul 20 – 26, 2025",,,,,,,,,,0,,,52,0,97,,,,,,,
"Jul 27 – Aug 2, 2025",,,,,,,,,,0,,,56,0,100,,,,,,,
"Aug 3 – 9, 2025",,,,,,,,,,0,,,52,0,87,,,,,,,
"Aug 10 – 16, 2025",,,,,,,,,,0,,,46,0,85,,,,,,,
"Aug 17 – 23, 2025",,,,,,,,,,0,,,58,0,77,,,,,,,
"Aug 24 – 30, 2025",,,,,,,,,,0,,,67,0,78,,,,,,,
"Aug 31 – Sep 6, 2025",,,,,,,,,,0,,,80,0,75,,,,,,,
"Sep 7 – 13, 2025",,,,,,,,,,0,,,86,0,65,,,,,,,
"Sep 14 – 20, 2025",,,,,,,,,,0,,,89,0,77,,,,,,,
"Sep 21 – 27, 2025",,,,,,,,,,0,,,95,0,78,,,,,,,
"Sep 28 – Oct 4, 2025",,,,,,,,,,0,,,73,0,73,,,,,,,
"Oct 5 – 11, 2025",,,,,,,,,,0,,,72,0,69,,,,,,,
